Date,NADH,ADH,RFU,RFU_std
20230829,12,0,2857.5,588.25
20230829,16,0,3593.5,588.25
20230829,20,0,4339.25,588.25
20230829,24,0,5019,588.25
20230829,28,0,5796.25,588.25
20230829,32,0,6548.25,588.25
20230829,36,0,7144.25,588.25
20230829,40,0,7768.25,588.25
20230829,44,0,8485,588.25
20230830,0,0,26948.33333,26948.33333
20230830,0.1,0,27920.66667,26948.33333
20230830,0.2,0,28470.33333,26948.33333
20230830,0.3,0,29854,26948.33333
20230830,0.4,0,30667.25,26948.33333
20230830,0.5,0,31836.25,26948.33333
20230830,0.6,0,32772,26948.33333
20230830,0.7,0,33481.5,26948.33333
20230830,0.8,0,34045.66667,26948.33333
20230830,0.9,0,35079,26948.33333
20230830,1,0,35832.5,26948.33333
20230830,1.1,0,37159.25,26948.33333
20230830,0,0,19467,19467
20230830,0.2,0,20983.75,19467
20230830,0.4,0,22296.75,19467
20230830,0.6,0,23873.25,19467
20230830,0.8,0,24829.5,19467
20230830,1,0,26237.5,19467
20230830,1.2,0,27841.5,19467
20230830,1.4,0,28769.5,19467
20230830,1.6,0,30264.5,19467
20230830,1.8,0,31447.75,19467
20230830,2,0,32727.25,19467
20230830,2.2,0,33781.33333,19467
20230830,0,0,13279,13279
20230830,0.4,0,15053.25,13279
20230830,0.8,0,16674.33333,13279
20230830,1.2,0,18791.25,13279
20230830,1.6,0,20585,13279
20230830,2,0,22063.25,13279
20230830,2.4,0,23874.25,13279
20230830,2.8,0,25672,13279
20230830,3.2,0,27262.25,13279
20230830,3.6,0,29331.5,13279
20230830,4,0,30773.5,13279
20230830,4.4,0,32295.25,13279
